2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:94    location: ( 33.0,65.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:95    location: ( 71.0,61.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:96    location: ( 11.0,46.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:97    location: ( 2.0,50.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:98    location: ( 84.0,70.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:99    location: ( 22.0,42.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator - Datacenters and devices were generated
2022/08/15 21:26:22 - simulation time       0 (s) : SimulationManager- Submitting VM list to the broker
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 0 with execution time 67 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 1 with execution time 74 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 2 with execution time 69 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 3 with execution time 72 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 4 with execution time 73 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 5 with execution time 64 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 6 with execution time 70 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 7 with execution time 74 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 8 with execution time 72 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 9 with execution time 60 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 10 with execution time 60 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 11 with execution time 68 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 12 with execution time 69 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 13 with execution time 61 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 14 with execution time 66 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 15 with execution time 60 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 16 with execution time 72 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 17 with execution time 64 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 18 with execution time 64 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 19 with execution time 68 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 20 with execution time 70 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 21 with execution time 67 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 22 with execution time 60 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 23 with execution time 74 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 24 with execution time 71 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 25 with execution time 73 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 26 with execution time 64 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 27 with execution time 71 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 28 with execution time 64 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 29 with execution time 64 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 30 with execution time 68 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 31 with execution time 70 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 32 with execution time 67 (s) generated.
